gj04	1		our friends wo n't buy this analysis , let alone the next one we propose .
gj04	1		one more pseudo generalization and i 'm giving up .
gj04	1		one more pseudo generalization or i 'm giving up .
gj04	1		the more we study verbs , the crazier they get .
gj04	1		day by day the facts are getting murkier .
gj04	1		i 'll fix you a drink .
gj04	1		fred watered the plants flat .
gj04	1		bill coughed his way out of the restaurant .
gj04	1		we 're dancing the night away .
gj04	1		herman hammered the metal flat .
gj04	1		the critics laughed the play off the stage .
gj04	1		the pond froze solid .
gj04	1		bill rolled out of the room .
gj04	1		the gardener watered the flowers flat .
gj04	1		the gardener watered the flowers .
gj04	1		bill broke the bathtub into pieces .
gj04	1		bill broke the bathtub .
gj04	1		they drank the pub dry .
gj04	0	*	they drank the pub .
gj04	1		the professor talked us into a stupor .
gj04	0	*	the professor talked us .
gj04	1		we yelled ourselves hoarse .
gj04	0	*	we yelled ourselves .
gj04	0	*	we yelled harry hoarse .
gj04	1		harry coughed himself into a fit .
gj04	0	*	harry coughed himself .
gj04	0	*	harry coughed us into a fit .
gj04	1		bill followed the road into the forest .
gj04	1		we drove highway 5 from sd to sf .
gj04	1		fred tracked the leak to its source .
gj04	1		john danced waltzes across the room .
gj04	1		bill urinated out the window .
gj04	1		bill coughed out the window .
gj04	1		bill bled on the floor .
gj04	1		the toilet leaked through the floor into the kitchen below .
gj04	1		bill ate off the floor .
gj04	1		bill drank from the hose .
gj04	1		this metal hammers flat easily .
gj04	1		they made him president .
gj04	1		they made him angry .
gj04	0	*	they caused him to become angry by making him .
gj04	0	*	they caused him to become president by making him .
gj04	0	*	they made him to exhaustion .
gj04	1		they made him into a monster .
gj04	1		the trolley rumbled through the tunnel .
gj04	1		the wagon rumbled down the road .
gj04	1		the bullets whistled past the house .
gj04	1		the knee replacement candidate groaned up the stairs .
gj04	0	*	the car honked down the road .
gj04	0	*	the dog barked out of the room .
gj04	1		the dog barked its way out of the room .
gj04	1		bill whistled his way past the house .
gj04	1		the witch vanished into the forest .
gj04	1		bill disappeared down the road .
gj04	0	*	the witch went into the forest by vanishing .
gj04	1		the witch went into the forest and thereby vanished .
gj04	1		the building is tall and wide .
gj04	0	*	the building is tall and tall .
gj04	1		this building is taller and wider than that one .
gj04	1		this building got taller and wider than that one .
gj04	1		this building got taller and taller .
gj04	0	*	this building is taller and taller .
gj04	0	*	this building got than that one .
gj04	0	*	this building is than that one .
gj04	1		bill floated into the cave .
gj04	0	*?	bill floated into the cave for hours .
gj04	0	*?	bill pushed harry off the sofa for hours .
gj04	1		bill floated down the river for hours .
gj04	1		bill floated down the river .
gj04	1		bill pushed harry along the trail for hours .
gj04	1		bill pushed harry along the trail .
gj04	1		the road zigzagged down the hill .
gj04	1		the rope stretched over the pulley .
gj04	1		the weights stretched the rope over the pulley .
gj04	1		the weights kept the rope stretched over the pulley .
gj04	1		sam cut himself free .
gj04	1		sam got free by cutting his finger .
gj04	1		bill cried himself to sleep .
gj04	0	*	bill cried sue to sleep .
gj04	1		bill squeezed himself through the hole .
gj04	1		bill sang himself to sleep .
gj04	1		bill squeezed the puppet through the hole .
gj04	1		bill sang sue to sleep .
gj04	0	*	the elevator rumbled itself to the ground .
gj04	1		if the telephone rang , it could ring itself silly .
gj04	0	*	she yelled hoarse .
gj04	0	*	ted cried to sleep .
gj04	1		the tiger bled to death .
